Feature,Importance
month,0.2352641651321333
day_of_month,0.20664947360355126
pres,0.1361885151497074
day_of_week,0.136122655286986
tmax,0.13538155349396414
wdir,0.10533024483903115
wpgt,0.10169995269183867
wspd,0.10040953258083425
tavg,0.09599371157125178
weekend,0.09327360288341265
tmin,0.093202554926729
Longitude,0.02576080286003931
landuse_residential_pct_250m,0.024255205483393792
shops_250m,0.02209013393418815
grid_mid_lon,0.01949031576964786
distance_to_center_m,0.019238673477447187
cycleway_lane_length_500m,0.01851154102892475
cycleway_lane_density_500m,0.017731317403610225
grid_mid_lat,0.017316041860219088
Aged 0-15_2013,0.014041911015090603
bike_parking_spots_500m,0.01378220021056823
cycleway_dedicated_length_250m,0.013228881998655883
bike_lane_length_250m,0.01257278832648101
bike_lane_density_500m,0.012430825918542244
landuse_retail_pct_250m,0.011438477532050639
cycleway_opposite_density_500m,0.011003568874323999
shops_500m,0.010488356661653242
2023,0.009570478325540366
bus_stop_count_500m,0.008903294156812425
landuse_grass_pct_250m,0.008376107135660815
